"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",0,1,0,0,0,0,0,0,0,1,0,1,2,1,3,4,33,46,"Taranaki",1
2010,"Total",2,1,0,1,0,0,0,1,0,3,0,2,4,1,6,8,53,82,"Taranaki",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,5,22,36,"Taranaki",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,2,34,47,"Taranaki",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,2,2,3,7,6,7,56,83,"Taranaki",1
2012,"Male",0,0,0,2,0,1,0,0,0,0,1,3,1,2,5,8,16,39,"Taranaki",1
2012,"Female",0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,3,32,40,"Taranaki",1
2012,"Total",0,0,0,2,0,1,0,1,1,1,2,3,1,2,6,11,48,79,"Taranaki",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,7,23,40,"Taranaki",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,7,42,58,"Taranaki",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,3,4,3,4,5,14,65,98,"Taranaki",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,"Hawke's Bay",1
2006,"Female",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,"Hawke's Bay",1
2006,"Total",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,11,"Hawke's Bay",1
2007,"Male",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,6,11,"Hawke's Bay",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,9,"Hawke's Bay",1
2007,"Total",0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,13,20,"Hawke's Bay",1
2008,"Male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,"Hawke's Bay",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,16,"Hawke's Bay",1
2008,"Total",0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,13,21,"Hawke's Bay",1
2009,"Male",0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,4,12,22,"Hawke's Bay",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,21,28,"Hawke's Bay",1
2009,"Total",0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,7,33,50,"Hawke's Bay",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,8,17,"Hawke's Bay",1
